Name,City,State,Postal Code,Latitude,Longitude,Floorsize,Url,Price,Home Type,Perks,Listing Overview,Bedrooms,Bathrooms,User Views,User Saves,Days on Website,First Floor Dimensions,Flooring,Heating features,Cooling features,Appliances included,Interior features,Parking features,Number of Stories,Lot Size (sqft),Parcel Number,Architectural Style,Home Types,Year built,Sewer Information,Security features,Sub Division,Buyer Agency Compensation,Second Floor Dimensions,Total Parking Spaces,Garage Parking Spaces,Covered Parking Spaces,Community features,Carport Parking Spaces,Basement Dimensions,Third Floor Dimensions,Laundry features,Additional Structures,HOA Status,HOA Fee (monthly),Window Features,Interior Features,Indoor air quality,Water conservation,Construction elements,Lot features
8424 Creekbluff Dr,Dallas,TX,75249,32.640865000000005,-96.966965,2508,https://www.zillow.com/homedetails/8424-Creekbluff-Dr-Dallas-TX-75249/26914242_zpid/,424000,House,Large sparkling poolSoaking tubEnsuite bathWalk-in showerCovered patioWater featureStylish backsplash,"Welcome Home to this move-in ready 2 story traditional guaranteed to impress! Beautifully refreshed with a fresh neutral color palette that any decor! The warm & inviting living area has a fireplace & lots of natural light emitting a sense of coziness & creating the ideal space for both entertainment & relaxation. Speaking of entertaining----this fabulous outdoor area backs to a greenbelt and is no cookie cutter, offering a covered patio & large sparkling pool, spa with water feature that will certainly be the setting for many fun summer parties! This kitchen is a chef's delight complete with a stylish backsplash that creates a striking focal point while beautifully complementing the rest of the space! The large primary suite features an ensuite bath with a walk-in shower & soaking tub to unwind after a long day! Easy access to major routes and nearby conveniences! A must see!Chevron DownShow more",5,3,9212,667,48 ,,"Ceramic Tile, Laminate",Central,Central Air,"Dishwasher, Electric Oven, Microwave, Vented Exhaust Fan","Decorative/Designer Lighting Fixtures, Eat-in Kitchen",,2,7797 ,0086110M000590000, DetachedProperty ,SingleFamily,1989," Sewer Available, Water Available",,Mountain Creek Meadows 01 Ph 01,2.5%,,2,,2,,,,," Washer Hookup, Electric Dryer Hookup, Laundry in Utility Room",,,,,,,,,
3121 Park Ln Apt 1124,Dallas,TX,75220,32.87637,-96.87353,1193,https://www.zillow.com/homedetails/3121-Park-Ln-APT-1124-Dallas-TX-75220/26810729_zpid/,125000,Condo,Private courtyardDallas north tollwayUpdated flooringNew sinkNew countersWalk-in closetNew tile,"Don't miss out on this amazing, recently refreshed, 3-bedroom, 2-bath condo with private courtyard in West Dallas! Bright, open-concept first floor with a wood-burning fireplace and updated flooring, and more! The kitchen features a breakfast bar, black and SS appliances, new counters, new backsplash, new cabinet facing, new sink, new disposal, & ample storage space. The primary bedroom is located on the main floor, with a walk-in closet, & the ensuite bath features granite countertops & a shower-tub combo with new tile. The 2 secondary bedrooms and bath are upstairs, perfect for roommates, children, or multi-generational living. Minutes away from Preston Hollow, near top-ranked private schools, & close to everything! One covered parking space is included. Easy access to I-35, 635, Dallas North Tollway, Love Field, & a quick commute to Downtown Dallas! With Burnet Elementary School being just a short walk away, this is an opportunity you don't want to miss! Schedule your Showing today!Chevron DownShow more",3,2,11837,625,55 , 12 x 11,,"Central, Electric","Central Air, Electric","Dishwasher, Electric Oven, Electric Range, Electric Water Heater, Microwave","Decorative/Designer Lighting Fixtures, High Speed Internet, Cable TV","Assigned, OpenHas uncovered spaces: Yes",2,397702,00000597576320000, TraditionalProperty ,Condo,1969," Sewer Available, Water Available, Cable Available",Smoke Detector(s),Park Lane Twnhms Ph 02,3%, 13 x 14,,,,,,,,,,Yes,980.0,,,,,,
9951 Dresden Dr,Dallas,TX,75220,32.879154,-96.84976999999999,4308,https://www.zillow.com/homedetails/9951-Dresden-Dr-Dallas-TX-75220/26792619_zpid/,1449000,House,Gourmet kitchenDallas love fieldMaster suiteExpansive open-concept designGorgeous countertopsSoaking tubSpacious island,"MLS#  20510928  - Built by Homebound - Ready Now! ~ Experience the latest design from Homebound! Nestled in the highly sought offer Midway Hollow neighborhood, this stunning 5-bedroom, 4-bath luxury home offers unparalleled elegance and charm.  Boasting 4308 square feet of living space, it showcases an expansive open-concept design with abundant large windows, flooding the home with natural light. Enjoy cooking in the gourmet kitchen equipped with top-of-the-line JennAir appliances, gorgeous countertops, and a spacious island. Retreat to the master suite, complete with a spa-like bathroom featuring a soaking tub and rainfall shower. Additional amenities include a 2-car garage, a media room and smart home technology throughout. Located minutes from Central Market, Dallas Love Field and Bachman Lake Park, and within private school corridor, this home offers the epitome of modern Dallas living. Schedule a private tour today and imagine your new life in this exquisite home.Chevron DownShow more",5,4,719,51,2 , 21 x 18,,"Central, ENERGY STAR Qualified Equipment, Fireplace(s), Humidity Control, Zoned","Central Air, Ceiling Fan(s), Humidity Control, Zoned","Convection Oven, Double Oven, Dishwasher, Disposal, Gas Range, Microwave, Refrigerator, Tankless Water Heater, Vented Exhaust Fan, Wine Cooler","Dry Bar, Decorative/Designer Lighting Fixtures, High Speed Internet, Kitchen Island, Loft, Open Floorplan, Pantry, Smart Home, Vaulted Ceiling(s), Walk-In Closet(s), Wired for Sound",,2,7405 ,9951 Dresden Drive," Traditional , DetachedProperty ",SingleFamily,2024," Natural Gas Available, Sewer Available, Separate Meters, Water Available","Prewired, Carbon Monoxide Detector(s), Smoke Detector(s), Wireless",Valley Ridge,3.0%, 12 x 17,2,2,2,"Curbs, Sidewalks",,,," Washer Hookup, Electric Dryer Hookup, Laundry in Utility Room",,,,,,,,,
303 N Montclair Ave,Dallas,TX,75208,32.747444,-96.84694,2416,https://www.zillow.com/homedetails/303-N-Montclair-Ave-Dallas-TX-75208/26709771_zpid/,875000,House,Light-filled sunroomHigh-end stainless appliancesBack patioPowder bathCovered front porchWell-appointed kitchenFull size laundry,"Tradition lives on with a modern take on a classic.  303 N. Montclair has been lovingly restored and thoughtfully updated to suit your modern lifestyle, including a custom climate-controlled glass front wine closet.  Located in the highly desirable Winnetka Heights historic district, this two-story home features gated alley access for the two-car garage, as well as porte cochère off the covered front porch, complete with swing and two ceiling fans.  Fantastically suited for all your gatherings, there are multiple spaces to entertain, including the back patio with vine-draped pergola.  The well-appointed kitchen features high-end stainless appliances, Viking gas range and sizable walk-in pantry.  In addition to the sun drenched office, all bedrooms and full size laundry are located upstairs; downstairs are formals, kitchen, den, powder bath and light-filled sunroom with direct access to the backyard.Chevron DownShow more",3,3,1524,190,5 , 14 x 10,"Tile, Wood","Central, Fireplace(s), Natural Gas","Central Air, Ceiling Fan(s), Electric","Some Gas Appliances, Dishwasher, Disposal, Gas Range, Plumbed For Gas, Refrigerator, Some Commercial Grade, Vented Exhaust Fan",,,2,7143 ,00000260566000000," Detached , Historic/AntiqueProperty ",SingleFamily,1925," Electricity Connected, Natural Gas Available, Sewer Available, Separate Meters, Water Available, Cable Available",,Winnetka Heights,3%,,3,2,3,"Curbs, Sidewalks",,,," Washer Hookup, Electric Dryer Hookup, In Hall",,,,Window Coverings," Decorative/Designer Lighting Fixtures, Double Vanity, High Speed Internet, Cable TV, Wired for Sound",,,,
11490 Audelia Rd Apt 225,Dallas,TX,75243,32.905064,-96.71589,1087,https://www.zillow.com/homedetails/11490-Audelia-Rd-APT-225-Dallas-TX-75243/26864073_zpid/,125000,Condo,Wood burning fireplacePrivate patioTennis courtNorth dallas areaUpdated primary bathroomSpacious roomsPrimary bedroom,"Welcome to this ready to move in 2 bedroom and 2 bathroom home in the North Dallas area, Less than 5 min from-to I635 and easy access to other major Dallas Highways. You are greeted with spacious rooms and a primary bedroom on the opposite side with a private patio. This condo is in a gated community and has great features to offer, including wood burning fireplace with another balcony from the living room for your relaxation, extra storage on the patio, washer and dryer hookup connections, spacious closets, updated primary bathroom, etc. With this community you'll also get a newly built fenced dog park, pools, BBQ grill and tennis court. Stop by today before its gone :) Appliances convey. Less than 5 min from I 635 and easy access to other major Dallas Highways. While all information is deemed reliable and accurate, no warranties or guarantees are made or implied. Please verify all schools, measurements, etc.Chevron DownShow more",2,2,1428,66,3 ,,,,,"Dishwasher, Electric Range, Disposal, Refrigerator","High Speed Internet, Cable TV",No Garage,1,435164,00000787231360000,,,1980," Sewer Available, Water Available, Cable Available",,Cambridge Condo Ph 01 03,3%,,,,,,,,,,,Yes,603.0,,,,,,
4112 Balch Dr,Dallas,TX,75216,32.7113,-96.7696,4800,https://www.zillow.com/homedetails/4112-Balch-Dr-Dallas-TX-75216/26885296_zpid/,670000,House,Huge backyardHuge kitchenBeautiful staircaseSpacious roomsClose to schools,"STOP!!! This home has EVERYTHING!! The huge backyard, the beautiful staircase, and the size for the family to enjoy. Close to schools and stores, this home is what your clients have been looking for.  Short drive to Downtown Dallas.  The home offers spacious rooms, a huge kitchen, and an upstairs media room.  THIS HOME IS A MUST SEE!!Chevron DownShow more",5,3,7200,523,111 , 0 x 0,,,,,"Chandelier, Cathedral Ceiling(s), Decorative/Designer Lighting Fixtures, Kitchen Island, Open Floorplan, Pantry, Natural Woodwork, Walk-In Closet(s)",,2,9670 ,00000816631000000, DetachedProperty ,SingleFamily,2023," Sewer Available, Water Available",,Fruitdale Acres,3%, 0 x 0,2,2,2,,,,,,,,,,,,,,
3916 Granbury Dr,Dallas,TX,75287,33.000834999999995,-96.845764,2375,https://www.zillow.com/homedetails/3916-Granbury-Dr-Dallas-TX-75287/27291567_zpid/,525000,House,Easy access to tollwaysOpen livingMature treesPrivacy wood fenceNice size rooms,"LOCATION! LOCATION! Great location in Dallas, 22 minutes from DFW and Lovefield Airport. Easy access to Tollways, shopping, entertainment and within Farmers Branch, Carrollton ISD. This charming home has tons to offer with no HOA and many upgrades throughout the home.  Enjoy summer fun by the pool and the cool winter days inside to the open living and kitchen all by the woodburning fireplace! This home has nice size rooms with plenty of room for everyone. Home is landscaped with mature trees, gutters, hardscape flooring in patio and privacy wood fence. Come take a look today and make it yours! Seller financing available, contact agent for more information.Chevron DownShow more",4,4,852,54,1, 12 x 12,"Carpet, Ceramic Tile, Laminate","Central, Natural Gas","Central Air, Ceiling Fan(s)","Dishwasher, Electric Oven, Gas Cooktop, Disposal, Vented Exhaust Fan",,,1,7492 ,R168782," Traditional , DetachedProperty ",SingleFamily,1996," Sewer Available, Water Available, Cable Available","Security System, Carbon Monoxide Detector(s), Fire Alarm, Smoke Detector(s), Security Lights",Midway Meadows Ph 1,3%,,2,2,2,"Curbs, Sidewalks",,,,,,,,Window Coverings," Built-in Features, Chandelier, Decorative/Designer Lighting Fixtures, Double Vanity, Eat-in Kitchen, Granite Counters, High Speed Internet, Open Floorplan, Pantry, Smart Home, Tile Counters, Cable TV, Walk-In Closet(s), Wired for Sound",,,,
3310 Clymer St,Dallas,TX,75212,32.782555,-96.90912,1464,https://www.zillow.com/homedetails/3310-Clymer-St-Dallas-TX-75212/96524161_zpid/,325000,House,Spacious bedroomsGranite counter kitchen,"Great single-story floor plan! Well maintained, Three bedrooms, two full baths, and one car garage. The home included a Granite counter kitchen, stainless steel appliances, a Focal point with a bar seating 4, and spacious bedrooms. Sprinkler system.  Huge Back Yard and more.Chevron DownShow more",3,2,448,31,1, 14 x 14,,Electric,Electric,"Dishwasher, Electric Range, Electric Water Heater, Disposal","Granite Counters, High Speed Internet, Cable TV",,1,7405 ,00000693403000000," Traditional , DetachedProperty ",SingleFamily,2017," Sewer Available, Cable Available",,Joe Irwin 04,3%,,1,1,1,,,,,,,,,,,,,,
6023 Azalea Ln,Dallas,TX,75230,32.898773,-96.80295,7687,https://www.zillow.com/homedetails/6023-Azalea-Ln-Dallas-TX-75230/26756755_zpid/,4995000,House,Media roomHome officeAbundant roomGorgeous blue lagoon pool,"Stunning new Preston Hollow contemporary from acclaimed Keen Homes offers 5 bedrooms, 5.2 bath, media room, gym, home office, and an enormous, fully screened-in porch with fireplace and built-in heaters— all the spaces you need to live and entertain in the greatest luxury. Downstairs primary with its own laundry center. An elevator. No detail has been forgotten! Adorned with every custom touch you can imagine and all the finest materials and brands: Wolf, Sub-Zero, Miele, among them. A Western pocketing glass door system offers perfect views of the gorgeous Blue Lagoon pool and lovely grounds. At 7687 sq. feet, there is abundant room, but rift-cut white oak accents throughout create a warmth and intimacy that is sure to feel like home.Chevron DownShow more",5,7,6136,530,25 , 30 x 19,"Carpet, Ceramic Tile, Hardwood, Stone","Central, Natural Gas","Central Air, Ceiling Fan(s), Electric","Some Gas Appliances, Built-In Gas Range, Dishwasher, Gas Cooktop, Disposal, Gas Oven, Gas Range, Microwave, Plumbed For Gas, Range, Some Commercial Grade, Vented Exhaust Fan, Wine Cooler","Wet Bar, Built-in Features, Decorative/Designer Lighting Fixtures, Double Vanity, Eat-in Kitchen, Granite Counters, High Speed Internet, Kitchen Island, Multiple Staircases, Open Floorplan, Pantry, Smart Home, Cable TV, Vaulted Ceiling(s), Natural Woodwork, Walk-In Closet(s), Wired for Sound",,2,18730,00000413308000000," Contemporary/Modern , DetachedProperty ",SingleFamily,2023," Electricity Available, Electricity Connected, Natural Gas Available, Sewer Available, Water Available, Cable Available","Prewired, Security System, Carbon Monoxide Detector(s), Fire Alarm, Fire Sprinkler System, Smoke Detector(s), Security Lights",Royal Crest Add Rep,3%, 17 x 23,3,3,3,"Curbs, Sidewalks",,,," Washer Hookup, Electric Dryer Hookup, Laundry in Utility Room",,,,,,"Moisture Control, Ventilation",,,
5003 Worth St,Dallas,TX,75214,32.800323,-96.76595,2865,https://www.zillow.com/homedetails/5003-Worth-St-Dallas-TX-75214/26678450_zpid/,700000,House,Historic homePrestigious munger historic districtDetached garageOriginal hardwood floors throughoutBeautiful wooden craftsman featuresModern open floor planOpen floorplan,"Welcome to this exceptional historic home nestled in the prestigious Munger Historic District, a unique gem that seamlessly combines old-world charm with a modern open floor plan. Located just minutes from downtown Dallas, this home offers the perfect blend of timeless character & the convenience of urban living. A plethora of shopping, restaurants & venues right at your doorstep. The property sits proudly on a generous corner lot adorned w mature trees. Open floorplan & beautiful wooden craftsman features marries the classic w the contemporary. Living areas bathed in natural light due to an abundance of windows create a warm & inviting ambiance. Spacious, well-appointed kitchen complete w stainless appliances & a center island, perfect gathering place for family &friends. The expansive primary bedroom w 2 walk-in closets ensures ample storage space. 2 additional beds up w walk-ins. Original hardwood floors throughout the home. Detached garage - a rare find in the historic district.Chevron DownShow more",3,3,4412,353,77 , 18 x 13,"Ceramic Tile, Wood",Central,Central Air,"Convection Oven, Double Oven, Dryer, Dishwasher, Electric Oven, Gas Cooktop, Disposal, Gas Water Heater, Refrigerator, Washer","Built-in Features, Decorative/Designer Lighting Fixtures, Eat-in Kitchen, High Speed Internet, Kitchen Island, Open Floorplan, Pantry, Paneling/Wainscoting, Cable TV, Natural Woodwork, Walk-In Closet(s), Wired for Sound",,2,8581 ,00000120640000000," Craftsman , Traditional , Detached , Historic/AntiqueProperty ",SingleFamily,1916," Sewer Available, Water Available, Cable Available",,Munger Place,3%, 12 x 9,2,2,2,,,,, Laundry in Utility Room,,,,,,,,,
605 S Storey St,Dallas,TX,75203,32.739857,-96.81951,2999,https://www.zillow.com/homedetails/605-S-Storey-St-Dallas-TX-75203/2054394380_zpid/,695000,House,High ceilingsHuge master suiteRed oak wood floorsDual master suitesGateway parkCovered patioLarge walk in closet,"Stunning New Build Within Walking Distance To Bishop Arts, Dallas Zoo And The Future Southern Gateway Park. Double Metal Entry Doors Give Home A Feeling Of Elegant Style. House Features  High Ceilings Through Out, Red Oak Wood Floors, Sixteen Foot Waterfall Quartz Island,  Dual Master Suites Featuring Huge Master Suite Downstairs With Accompanying Master Bath That Has A Large Walk In Shower And Separate Roman Tub Plus Large Walk In Closet, Upstairs Suite Features Its Own Bath Plus Large Walk In Closet, Upstairs Loft Makes Ideal Home Work Office Or Additional Family Room,Media Room Located On Second Level Perfect For Viewing Big Sporting Events Or Feature Movies, Covered Patio Perfect For Back Yard Relaxation Overlooking Beautiful Eight Foot Cedar Fence And Good Sized Backyard. This Home Is Centrally Located To Downtown, Major Freeways In One Of Oak Cliffs Up And Coming Neighborhoods.Chevron DownShow more",3,4,2390,262,63 , 10 x 6,Hardwood,"Central, Electric","Central Air, Electric","Dishwasher, Electric Range, Disposal, Microwave, Refrigerator","Chandelier, Cathedral Ceiling(s), Decorative/Designer Lighting Fixtures, Kitchen Island, Open Floorplan, Walk-In Closet(s)",,2,7501 ,00000269026000000," Contemporary/Modern , DetachedProperty ",SingleFamily,2023," Sewer Available, Water Available",,Vassar Place,3%,,2,2,2,,,,," Washer Hookup, Electric Dryer Hookup, Laundry in Utility Room",,,,,,,,,
2746 Exeter Ave,Dallas,TX,75216,32.707035,-96.77864,734,https://www.zillow.com/homedetails/2746-Exeter-Ave-Dallas-TX-75216/2070173488_zpid/,185000,House,Brand new paintNew roofNew granite countertops,"PURCHASE OWNER FINANCE DUENO Y DUENO
Buy today for 10% down = $18,500 + Closing fees
NO BANKS NO CREDIT OR BAD CREDIT or SSN OK
10% DOWN + PITI $1698.23
Completely remodeled in 2020, brand new kitchenm new cabinets, new granite countertops and new stainless steel appliances! Brand new poaint throughout and brand new paint on the exterior! Original hardwood floors freshly scraped and stained! New Roof and large fenced back yard. HVAC is 12 years old with work done last summer. Comes with refrigerator, all appliances except washer and dryer. Just needs a new garage door!Chevron DownShow more",2,1,318,9,1,,,Natural Gas,Central Air,"Gas Oven, Gas Range, Refrigerator",Granite Counters,,1,6316 ,00000507238000000, DetachedProperty ,SingleFamily,1949," Sewer Available, Water Available",,Southgate 01,2%,,1,1,1,,,,,,,,,,,,,,
5837 Clendenin Ave,Dallas,TX,75228,32.797540000000005,-96.70116999999999,1832,https://www.zillow.com/homedetails/5837-Clendenin-Ave-Dallas-TX-75228/26883914_zpid/,565000,House,White rock lakeCentral courtyard patioCustom maple cabsOpen shelvingSoaker tubDouble sink vanityGlass shower enclosure,"Gorgeous complete remodeled mid century contemporary. Reimagined open floorplan exudes warmth and functionality for todays lifestyle.  Myriad new windows and sliding doors in lr~kitchen~master br embrace the filtered light and bring the outdoors in. Central courtyard patio, myriad tree canopy, landscaping, privacy fence. Perfect for tranquil mornings, restful evenings or entertaining guests. A chefs delight kitchen offers custom maple cabs, xlarge island for food prep, storage and ample space to dine, xlarge butlers pantry~dry bar offers addtl storage space, open shelving and glass accent cabinets. 6 burner gas range. Light oak hardwoods extend through kitchen, lr, dr, brs and hallways for a cohesive feeling of spaciousness. Master en-suite bedroom has access to 4 closets, double sink vanity, glass shower enclosure. 2nd bath offers soaker tub  Additionally you are situated in a prime neighborhood with close in location to Dallas Arboretum, White Rock Lake and minutes to downtown DallasChevron DownShow more",3,2,1482,247,11 , 12 x 10,"Hardwood, Tile",Central,"Central Air, Ceiling Fan(s), Electric, Roof Turbine(s)","Some Gas Appliances, Convection Oven, Dishwasher, Disposal, Gas Range, Gas Water Heater, Microwave, Plumbed For Gas, Refrigerator, Vented Exhaust Fan",,,1,8581 ,00000811999000000," Contemporary/Modern , Mid-Century Modern , DetachedProperty ",SingleFamily,1963," Natural Gas Available, Sewer Available, Separate Meters, Water Available, Cable Available",,Buckner Terrace 04 Sec 03 Inst,3%,,2,2,2,"Curbs, Sidewalks",,,," Washer Hookup, Electric Dryer Hookup, In Hall, Other",,,,Window Coverings," Dry Bar, Decorative/Designer Lighting Fixtures, Double Vanity, Eat-in Kitchen, Kitchen Island, Open Floorplan, Pantry, Cable TV",,,,
8371 Nunley Ln,Dallas,TX,75231,32.8898,-96.761185,1887,https://www.zillow.com/homedetails/8371-Nunley-Ln-Dallas-TX-75231/245230131_zpid/,629900,House,Modern designGame roomMultiple windowsUpgraded vent hoodCustom cabinetsGorgeous family room lightingPremium lot,"PREMIUM LOT! Spectacular, 2020 Coventry-built home, in the desirable gated Merion at Midtown, offers a modern design, multiple updates and designer touches, with 3 bedrooms, and 2.5 baths.  Light and bright and ample space for comfort. The meticulous maintenance is evident, as you explore the property.  Beginning with the wood flooring, the chef will appreciate the large quartz island, gas cooktop, upgraded vent hood, custom cabinets that extend to the ceiling, crown molding, and large pantry.  The fresh white walls accentuate the tall ceilings and multiple windows, which have custom blinds, and gorgeous family room lighting.  Step out onto the lower covered patio, adorned with decorator tiles, artificial turf, and the PRIVACY of the natural area and golf course. The primary bedroom is on the first floor with an elfa custom closet. Upstairs 2 bedrooms, game room, bath, and a covered balcony to enjoy the winning view in back.  Located across from the pool, convenient to DFW travel.Chevron DownShow more",3,3,1070,101,3 , 15 x 8,"Carpet, Ceramic Tile, Hardwood, Wood","Central, Natural Gas","Central Air, Ceiling Fan(s), Electric","Some Gas Appliances, Dishwasher, Gas Cooktop, Disposal, Gas Oven, Gas Range, Microwave, Plumbed For Gas, Tankless Water Heater, Vented Exhaust Fan",,,2,2178 ,006138000C0270000," Contemporary/Modern , DetachedProperty ",SingleFamily,2020," Electricity Available, Electricity Connected, Natural Gas Available, Phone Available, Sewer Available, Separate Meters, Water Available, Cable Available","Prewired, Security System, Carbon Monoxide Detector(s), Security Gate, Gated Community, Smoke Detector(s), Security Lights",Merion At Midtown Park Ph 1,3%, 12 x 13,2,2,2,"Fenced Yard, Pool, Trails/Paths, Gated",,,," Washer Hookup, Electric Dryer Hookup, Laundry in Utility Room",,Yes,133.0,Window Coverings," Built-in Features, Decorative/Designer Lighting Fixtures, Double Vanity, Eat-in Kitchen, High Speed Internet, Kitchen Island, Open Floorplan, Smart Home, Cable TV, Walk-In Closet(s)",,,,
16818 Park Hill Dr,Dallas,TX,75248,32.980213,-96.78825,3267,https://www.zillow.com/homedetails/16818-Park-Hill-Dr-Dallas-TX-75248/26875438_zpid/,1200000,House,Outstanding natural lightQuartz countertopsBreezy floor planSoaking tubSide yardPrivate balconyDual shower,"Redesigned with style. Boasting an abundance of windows and outstanding natural light, 16818 Park Hill presents a breezy floor plan perfect for large gatherings. Its reimagined chef’s kitchen features quartz countertops, custom cabinetry, and a complete set of Bertazzoni stainless steel appliances. The new owner will love the primary’s dual shower, soaking tub, and double vanity sinks. The home’s redesigned primary closet, custom mudroom, and true hardwood floors throughout also make a profound impression. But even this craftsmanship is no match for the home’s second story doubling as a fourth bedroom or entertainment space with a full bathroom, closet, and private balcony overlooking the home's backyard oasis, in-ground pool and side yard. Zoned to Brentfield Elementary and conveniently located near several neighborhood trails, there is no shortage of entertainment for family and friends alike.Chevron DownShow more",4,4,2058,174,5 , 12 x 15,"Hardwood, Tile",Central,"Central Air, Ceiling Fan(s)","Dishwasher, Disposal, Gas Range, Microwave, Refrigerator","Decorative/Designer Lighting Fixtures, Double Vanity, Kitchen Island, Open Floorplan, Pantry, Vaulted Ceiling(s)",,,9583 ,00000799468800000," Traditional , DetachedProperty ",SingleFamily,1975," Sewer Available, Water Available",,Tioga East Ph 02,3%,,2,2,2,,,,,,,,,,,,,,
4030 Lafayette St #104,Dallas,TX,75204,32.801888,-96.787186,1315,https://www.zillow.com/homedetails/4030-Lafayette-St-104-Dallas-TX-75204/338040784_zpid/,485000,Condo,Lower greenvilleKnox hendersonWest villageLarge windowsAttached two car garageLarge balconyDouble sinks,"Experience modern living in this 2021-built condo located in a boutique community in the heart of Old East Dallas. Located within minutes from Dallas hotspots including, Knox Henderson, Lower Greenville, Downtown, West Village, and upcoming development, The Central. Stylish real hardwood floors, master bedroom with a walk-in closet, double sinks, and a modern shower. Security system, powder half bathroom, and attached two car garage with a driveway. This home has 2 bedrooms, 2.5 bathrooms, and an open kitchen-living room layout. This condo offers large windows, 11 foot ceilings, a large balcony, and a private backyard. With wonderful finish outs and designer touches throughout, this beautiful condo won't last long!Chevron DownShow more",2,3,1096,100,3 ,,,"Central, Natural Gas","Central Air, Electric","Built-In Gas Range, Dishwasher, Electric Oven, Disposal","Decorative/Designer Lighting Fixtures, High Speed Internet, Kitchen Island, Multiple Staircases, Vaulted Ceiling(s), Walk-In Closet(s)",,3,,0000,,,2021," Sewer Available, Water Available",,4030 Lafayette Condo,3%, 14 x 15,2,2,2,,,,,,,Yes,325.0,,,,,,
10455 Brockbank Dr,Dallas,TX,75229,32.889793,-96.8774,1945,https://www.zillow.com/homedetails/10455-Brockbank-Dr-Dallas-TX-75229/26811632_zpid/,360000,House,,Great opportunity for an investor.  This property needs some TLC and was recently renovated and then experienced damage from a tenant.  The windows are boarded up and several are broken.  Utilities are off so bring a flashlight when viewing.  Virtual Tour available from Listing Agent upon request.Chevron DownShow more,4,2,222,4,1, 12 x 14,,,,"Dishwasher, Gas Range, Refrigerator",Other,,1,11325,00000599995000000, DetachedProperty ,SingleFamily,1957," Sewer Available, Water Available",,Walnut Hills 4th Inst,3%,,1,,1,,,,,,,,,,,,,,
4738 Thunder Rd,Dallas,TX,75244,32.924812,-96.82744,2300,https://www.zillow.com/homedetails/4738-Thunder-Rd-Dallas-TX-75244/26881307_zpid/,824900,House,Updated lightingHvac ductsConvenient microwave drawerAmple storageFresh sodDouble closetsPlumbing fixtures,"Welcome to luxury living in the heart of North Dallas! This exquisite property boasts a recent appraisal value of $870,000, ensuring you're making a sound investment. The chef's dream kitchen is a standout feature, offering ample storage, built-in bench seating, and an expansive walk-in pantry. Brand new stainless steel appliances, including a double oven, 5-burner gas range, and a convenient microwave drawer, make this kitchen a culinary haven. Indulge in the ultimate relaxation in the primary suite, featuring double closets and an opulent bathroom with a double rainfall shower head. The attention to detail and luxurious touches create a true retreat within your own home. Recent upgrades, such as a tankless water heater, all-new HVAC ducts, updated lighting, plumbing fixtures, and fresh sod, ensure modern comfort and efficiency. Perfectly situated in close proximity to the private school corridor, shopping, and restaurants, this North Dallas gem offers easy access to both DNT and 635.Chevron DownShow more",4,3,2559,255,13 ,,Luxury Vinyl Plank,Natural Gas,Gas,"Gas Range, Gas Water Heater, Tankless Water Heater","Built-in Features, Decorative/Designer Lighting Fixtures, Kitchen Island, Open Floorplan, Pantry, Walk-In Closet(s)",,1,12196,00000809359000000," Farmhouse , Modern , Traditional , DetachedProperty ",SingleFamily,1968,,"Carbon Monoxide Detector(s), Smoke Detector(s)",Schreiber Manor 03 Inst Rev,3%,,2,2,2,,,,,,,,,,,,,,
10215 Regal Oaks Dr #a,Dallas,TX,75230,32.885887,-96.77244,1461,https://www.zillow.com/homedetails/10215-Regal-Oaks-Dr-A-Dallas-TX-75230/2054469685_zpid/,299000,Condo,Natural lightGiant wall of windowsSpacious patioWalk-in closetGranite countertopsDouble doorsSs appliances,"Welcome to your modern & contemporary urban oasis in the heart of Dallas! You'll love the vibrant energy of this stunning 2 bed, 1 & a half bath condo. Enjoy the abundance of natural light, thanks to the giant wall of windows that span the entire living area. The open concept layout creates a seamless flow from the living room to the dining area and kitchen, perfect for entertaining. Then step outside onto the spacious patio, through double doors which open to extend your entertainment space into the outdoors. The sleek & stylish kitchen features SS appliances, granite countertops, & a breakfast bar. The master bedroom is a true retreat with its en-suite bathroom & walk-in closet, while the second bedroom offers flexibility for guests or a home office. This prime location is just moments away from the best shopping, dining, & entertainment that Dallas has to offer. Don't miss out on this incredible opportunity to live in a contemporary condo with all the conveniences of urban living!Chevron DownShow more",2,2,8469,442,68 , 15 x 12,"Carpet, Hardwood",,,"Electric Cooktop, Electric Range",,,2,97574,00C55130000A10215,,,1963," Sewer Available, Water Available",,Paradiso Condo Ph 01,3%,,2,,1,"Gated, Pool",2,,,,,Yes,670.0,Window Coverings," Decorative/Designer Lighting Fixtures, Granite Counters, High Speed Internet, Open Floorplan, Walk-In Closet(s)",,,,
